filename,fundamental_hz,fundamental_note,dual_horn
mercedes_gla_2023.wav,403.74755859375,G#4 (-48 cents),
bmw_x5_2023.wav,177.64892578125,F3 (+29 cents),
chevrolet_colorado_2023.wav,484.4970703125,B5 (-33 cents),
chevrolet_tahoe_2023.wav,538.330078125,C5 (+49 cents),656.7626953125
honda_civic_2023.wav,344.53125,F4 (-23 cents),
ford_escape_2023.wav,403.74755859375,G#4 (-48 cents),
tesla_model_3.wav,253.01513671875,B4 (+42 cents),
tesla_model_s.wav,554.47998046875,C#5 (+0 cents),
hyundai_santa_fe_2023.wav,129.19921875,C3 (-21 cents),
toyota_prius_2023.wav,355.2978515625,F4 (+29 cents),
chevrolet_corvette_2023.wav,769.81201171875,G5 (-31 cents),
nissan_rogue_2023.wav,301.46484375,D4 (+45 cents),
ford_f-150_2023.wav,516.796875,C5 (-21 cents),
ford_maverick_2023.wav,414.51416015625,G#4 (-3 cents),
chevrolet_malibu_2023.wav,511.41357421875,C5 (-39 cents),
toyota_rav4_2023.wav,247.6318359375,B4 (+4 cents),
hyundai_venue_2023.wav,425.28076171875,G#4 (+41 cents),
bmw_7_series_2023.wav,500.64697265625,B5 (+23 cents),
mercedes_s-class_2023.wav,290.6982421875,D4 (-17 cents),
hyundai_ioniq_5_2023.wav,436.04736328125,A5 (-15 cents),
kia_sorento_2023.wav,522.18017578125,C5 (-3 cents),678.2958984375
ford_expedition_2023.wav,425.28076171875,G#4 (+41 cents),
nissan_murano_2023.wav,91.51611328125,F#2 (-18 cents),
honda_hr-v_2023.wav,624.462890625,D#5 (+6 cents),479.11376953125
kia_sportage_2023.wav,430.6640625,A5 (-37 cents),
nissan_armada_2023.wav,489.88037109375,B5 (-14 cents),
hyundai_tucson_2023.wav,489.88037109375,B5 (-14 cents),
chevrolet_blazer_2023.wav,409.130859375,G#4 (-25 cents),
chevrolet_traverse_2023.wav,409.130859375,G#4 (-25 cents),
bmw_x3_2023.wav,64.599609375,C2 (-21 cents),
nissan_kicks_2023.wav,419.8974609375,G#4 (+19 cents),
honda_insight_2023.wav,651.37939453125,E5 (-20 cents),785.9619140625
hyundai_santa_cruz_2023.wav,441.4306640625,A5 (+5 cents),
ford_ranger_2023.wav,511.41357421875,C5 (-39 cents),
bmw_m3_2023.wav,516.796875,C5 (-21 cents),
nissan_pathfinder_2023.wav,430.6640625,A5 (-37 cents),322.998046875
honda_odyssey_2023.wav,419.8974609375,G#4 (+19 cents),
kia_ev6_2023.wav,452.197265625,A5 (+47 cents),
toyota_tacoma_2023.wav,409.130859375,G#4 (-25 cents),
honda_pilot_2023.wav,387.59765625,G4 (-19 cents),
nissan_sentra_2023.wav,662.14599609375,E5 (+7 cents),
chevrolet_equinox_2023.wav,236.865234375,A#4 (+27 cents),
hyundai_ioniq_6_2023.wav,500.64697265625,B5 (+23 cents),608.31298828125
mercedes_c-class_2023.wav,511.41357421875,C5 (-39 cents),
kia_carnival_2023.wav,624.462890625,D#5 (+6 cents),
honda_prologue_2023.wav,80.74951171875,E2 (-35 cents),
toyota_corolla_2023.wav,344.53125,F4 (-23 cents),462.9638671875
toyota_camry_2023.wav,484.4970703125,B5 (-33 cents),
toyota_4runner_2023.wav,48.44970703125,G1 (-19 cents),
toyota_highlander_2023.wav,543.71337890625,C#5 (-33 cents),
hyundai_sonata_2023.wav,360.68115234375,F#4 (-44 cents),
bmw_3_series_2023.wav,398.3642578125,G4 (+27 cents),
honda_accord_2023.wav,495.263671875,B5 (+4 cents),
bmw_i4_2023.wav,500.64697265625,B5 (+23 cents),
mercedes_e-class_2023.wav,274.54833984375,C#4 (-16 cents),
kia_k5_2023.wav,629.84619140625,D#5 (+20 cents),
chevrolet_bolt_2023.wav,430.6640625,A5 (-37 cents),
nissan_leaf_2023.wav,118.4326171875,A#3 (+27 cents),
hyundai_elantra_2023.wav,732.12890625,F#5 (-18 cents),
chevrolet_silverado_2023.wav,500.64697265625,B5 (+23 cents),
tesla_model_x.wav,403.74755859375,G#4 (-48 cents),
tesla_model_y.wav,253.01513671875,B4 (+42 cents),
bmw_x1_2023.wav,495.263671875,B5 (+4 cents),
mercedes_gle_2023.wav,247.6318359375,B4 (+4 cents),
hyundai_palisade_2023.wav,495.263671875,B5 (+4 cents),
nissan_frontier_2023.wav,500.64697265625,B5 (+23 cents),
chevrolet_camaro_2023.wav,409.130859375,G#4 (-25 cents),
nissan_ariya_2023.wav,495.263671875,B5 (+4 cents),
mercedes_a-class_2023.wav,242.24853515625,B4 (-33 cents),
ford_mustang_2023.wav,495.263671875,B5 (+4 cents),
bmw_5_series_2023.wav,430.6640625,A5 (-37 cents),
ford_edge_2023.wav,419.8974609375,G#4 (+19 cents),
kia_seltos_2023.wav,430.6640625,A5 (-37 cents),
toyota_sienna_2023.wav,53.8330078125,A2 (-37 cents),
tesla_cybertruck.wav,769.81201171875,G5 (-31 cents),629.84619140625
